Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2020-01-02,0.0,79.72917175292969,0.0,80.33266724330923,79.72917175292969,80.0979734867852,0.0,1359675
2020-01-03,0.0,80.3326644897461,0.0,80.7014726058852,80.06444214935173,80.7014726058852,0.0,1855425
2020-01-06,0.0,80.06443786621094,0.0,80.86911123927207,80.03091567101436,80.86911123927207,0.0,1062850
2020-01-07,0.0,80.2656021118164,0.0,80.3997100651881,80.09795917644666,80.1985449376685,0.0,829875
2020-01-08,0.0,79.86327362060547,0.0,80.29913890217027,79.52799411053826,80.26561031167107,0.0,1349375
2020-01-09,0.0,79.3603515625,0.0,79.62857387132222,79.3268229745317,79.46093732640493,0.0,767350
2020-01-10,0.0,79.5615234375,0.0,79.72916639154776,79.15919313763497,79.19272172844452,0.0,936925
2020-01-13,0.0,79.05860900878906,0.0,79.52799650003149,79.02508041728247,79.39388852893006,0.0,856250
2020-01-14,0.0,79.15918731689453,0.0,79.32682386369082,78.89096500506587,79.1256587285504,0.0,1675325
2020-01-15,0.0,79.02507781982422,0.0,79.22624296732678,78.79038408191711,79.19272077184698,0.0,898275
2020-01-16,0.0,78.35450744628906,0.0,78.68978048453323,78.35450744628906,78.65625190172416,0.0,1010050
2020-01-17,0.0,78.11981964111328,0.0,78.32099116957659,78.05276885988314,78.1533482291905,0.0,716525
2020-01-21,0.0,78.28746795654297,0.0,78.38804733275587,78.0863028091924,78.38804733275587,0.0,921675
2020-01-22,0.0,78.25393676757812,0.0,78.32099394610978,77.88512868057853,78.05277162690767,0.0,707850
2020-01-23,0.0,78.18687438964844,0.0,78.75684757941548,78.15334580261224,78.42156810397766,0.0,1152850
2020-01-24,0.0,78.92447662353516,0.0,79.2262210639043,78.01922411765881,78.01922411765881,0.0,1881575
2020-01-27,0.0,80.1314926147461,0.0,80.36618634354818,79.76269092445331,80.29913556026509,0.0,2553675
2020-01-28,0.0,79.32683563232422,0.0,79.9303375222031,79.09214187402138,79.79622314892988,0.0,2105700
2020-01-29,0.0,79.42740631103516,0.0,79.46093489797879,78.89096170978513,78.95801248874832,0.0,1135300
2020-01-30,0.0,79.12564849853516,0.0,80.16500902312863,79.09211991452588,79.9638439139965,0.0,2229850
2020-01-31,0.0,80.6343994140625,0.0,80.83557092561433,79.2932879783357,79.32681656359433,0.0,2501475
2020-02-03,0.0,79.99737548828125,0.0,80.23206919019543,79.49445310426655,80.16501201967031,0.0,2372975
2020-02-04,0.0,78.75684356689453,0.0,79.12565161057842,78.55567844985049,79.05859443992247,0.0,2062800
2020-02-05,0.0,77.8851318359375,0.0,78.38804790545052,77.81807465468916,78.01924619843419,0.0,1782775
2020-02-06,0.0,77.6169204711914,0.0,77.91867143451401,77.58339187583049,77.58339187583049,0.0,1718400
2020-02-07,0.0,78.05277252197266,0.0,78.18688048564933,77.7510216100444,77.91865816337139,0.0,1489650
2020-02-10,0.0,77.44927215576172,0.0,78.28746772802121,77.44927215576172,78.25393913773986,0.0,1309075
2020-02-11,0.0,77.31515502929688,0.0,77.4827979747075,76.91282475016035,77.11398988972861,0.0,1620825
2020-02-12,0.0,76.87930297851562,0.0,77.08046813592264,76.77871720234958,76.9798823597566,0.0,995900
2020-02-13,0.0,76.94634246826172,0.0,77.28161552186661,76.71164237784528,77.21456474809978,0.0,1264725
2020-02-14,0.0,76.81224822998047,0.0,77.18105635935844,76.81224822998047,76.87930541621742,0.0,1100550
